Genome,KO,COG,Gene name,Gene Function,Function Category,Function Subcategory,Presence/Absence,Additional Information
Alishewanella agri,K01595,COG1861,ppc,PEP carboxylase,CO2 assimilation (Heterotrophs),Anaplerotic CO₂ fixation,1,
Marinobactershengliensis,K01595,COG1861,ppc,PEP carboxylase,CO2 assimilation (Heterotrophs),Anaplerotic CO₂ fixation,1,
Marinobacter vinifirmis,K01595,COG1861,ppc,PEP carboxylase,CO2 assimilation (Heterotrophs),Anaplerotic CO₂ fixation,1,
Dietzia_maris_bin001_S3,K01595,COG1861,ppc,PEP carboxylase,CO2 assimilation (Heterotrophs),Anaplerotic CO₂ fixation,0,
Aliihoeflea_bin002_S3,K01595,COG1861,ppc,PEP carboxylase,CO2 assimilation (Heterotrophs),Anaplerotic CO₂ fixation,0,
Stenotrophomonas_maltophilia_Z_bin003_S3,K01595,COG1861,ppc,PEP carboxylase,CO2 assimilation (Heterotrophs),Anaplerotic CO₂ fixation,0,
Aliihoeflea_bin004_S3,K01595,COG1861,ppc,PEP carboxylase,CO2 assimilation (Heterotrophs),Anaplerotic CO₂ fixation,0,
Campylobacterales_UBA1877_Kmv14_bin001_S4,K01595,COG1861,ppc,PEP carboxylase,CO2 assimilation (Heterotrophs),Anaplerotic CO₂ fixation,0,
Alishewanella agri,K01958/9,COG1866,pycAB,Pyruvate carboxylase (biotin-dependent),CO2 assimilation (Heterotrophs),Anaplerotic CO₂ fixation,0,
Marinobactershengliensis,K01958/9,COG1866,pycAB,Pyruvate carboxylase (biotin-dependent),CO2 assimilation (Heterotrophs),Anaplerotic CO₂ fixation,0,
Marinobacter vinifirmis,K01958/9,COG1866,pycAB,Pyruvate carboxylase (biotin-dependent),CO2 assimilation (Heterotrophs),Anaplerotic CO₂ fixation,0,
Dietzia_maris_bin001_S3,K01958/9,COG1866,pycAB,Pyruvate carboxylase (biotin-dependent),CO2 assimilation (Heterotrophs),Anaplerotic CO₂ fixation,0,
